resource,next_ref_id
53334,10
7572,621
7575,262
41365,3
7577,77
42451,2
28120,4
28123,3
42757,48
28114,22
29023,4
30088,3
28117,11
45745,3
7578,63
41257,19
43363,10
45778,3
45751,5
36175,3
28135,3
7581,762
26881,658
28138,3
42892,8
50593,5
43366,3
12902,26
29026,5
7584,584
49564,13
36160,3
37393,3
36163,3
47866,4
28570,6
26223,28
43006,533
36166,3
36172,14
38437,6
30166,785
28141,3
41020,2
28144,4
28147,4
41167,3
7586,582
41002,2
28180,7
49213,6
49612,5
45880,4
48118,4
43375,7
43372,4
47959,6
48115,3
39589,9
39472,3
28126,6
28129,4
28150,5
49282,9
44317,9
28156,58
29029,3
39232,2
28105,9
34120,9
28132,3
50374,5
12580,13
37762,2
40753,2
28153,4
47833,9
30574,33
28516,2
28162,5
40798,4
36889,9
45754,3
50530,5
7589,540
39982,3
7590,85
28219,2
49096,12
28168,5
43918,4
43378,5
28585,63
54718,1
28345,2
7593,532
40714,3
28171,5
28108,87
7596,640
29032,2
43381,4
47266,4
45883,3
40684,2
43384,7
41221,2
28438,2
45895,5
28444,176
47668,8
28441,3
28174,14
44308,5
40333,3
48301,12
48025,7
44497,3
36178,3
28348,2
50104,6
45928,6
53992,2
49423,10
47971,9
38044,2
14062,264
37132,4
42889,4
28324,4
7599,1004
37912,3
48952,8
25391,101
48367,6
12570,576
51269,420
28648,4
25920,71
7602,549
28186,10
7605,22
28189,4
28192,2
41383,3
40849,5
29707,197
54660,2
47692,6
48127,6
48124,4
41503,2
36208,71
26779,27
29035,3
42538,2
36298,7
25774,282
48082,10
42748,16
7608,579
46702,6
44617,4
29710,2
28216,2
42034,75
41044,16
13796,11
7611,599
13829,41
48751,14
49798,2
29257,3
29038,3
39295,2
7614,615
40162,2
29737,56
7616,2375
29788,3
7617,1424
29791,420
28177,4
7620,645
41158,2
29803,5
37156,2
7622,2247
40177,2
54827,4
28873,3
49876,2
37783,5
39988,2
7623,549
39916,4
29806,18
29809,409
29050,3
7626,636
28198,4
45742,4
44044,5
35932,3
36571,4
28159,4
34102,22
31435,3
49636,9
38695,6
49942,6
43933,6
43099,624
44299,3
28183,3
36373,2
28582,3
48586,8
48583,8
48874,12
44425,8
47419,11
48589,7
40300,74
28225,17
43387,8
29872,21
47155,3
43390,6
42952,72
7627,11084
43930,10
44305,7
44311,6
13091,59
28657,4
26776,1412
37219,22
40864,2
37048,76
29875,3
28669,7
28681,3
28684,4
7628,1320
46654,5
48046,8
41767,174
42994,2
7629,735
37126,7
7631,597
49456,15
49948,2
43936,4
50140,7
7633,1612
44320,3
38707,164
43393,9
40504,2
44335,2
52151,4
44302,3
43321,1217
40378,286
36718,5
7635,1461
37702,19
7637,2030
40315,2
41212,16
43168,3
39691,407
40720,2
40324,3
40306,4
41185,36
49912,2
42412,2
47512,7
49828,2
7639,4896
32554,3
38710,673
54764,2
39157,2
36313,5
40723,5
7641,60
7643,167
50137,10
29059,9
41191,2
40237,336
51394,2
36379,2
37348,5
43894,6
44314,4
43396,7
34552,17
29926,5
45748,6
28690,23
37375,23
38713,2
43399,4
25737,117
28693,13
43939,10
44323,6
12683,312
36760,3
42592,174
42826,6
28696,91
7646,96
28792,2
29137,9
28699,2
7647,796
53921,9
29185,3
29701,5
31423,3
41398,46
7650,909
28387,14
31426,3
36226,22
31429,9
36256,10
33562,7
39874,4
36259,232
33556,21
40894,15
38422,3
51338,2787
33565,2
7652,2157
7653,584
28588,10
27050,7
36187,9
38716,5
40903,63
38023,2
40594,13
44338,5
33568,18
33571,3
7656,1121
7659,855
36235,28
26687,49
29704,3
53882,4
28294,241
48568,5
36268,6
30616,5
28702,3
28705,3
7661,586
43402,9
50449,5
28711,12
7662,2252
49699,8
12829,30
47896,6
39667,99
33577,3
7665,2503
45766,3
28630,3
33580,3
50380,4
29974,2
44332,3
50368,5
7668,553
42682,103
28714,3
28717,3
7671,655
28639,3
39079,3
39928,2
28642,10
29197,6
50566,4
28645,24
28351,2
44431,8
30418,2
46717,7
33697,5
7673,747
28651,44
47650,7
47695,11
54686,2
49216,5
45760,5
41686,11
45763,3
28720,14
28897,3
45769,5
48070,4
35935,3
28723,12
44329,4
48370,3
43405,8
43267,4
41668,86
48730,6
49339,8
50710,5
47590,7
30904,7
33547,16
7676,683
43408,5
7677,745
39634,3
44326,8
49615,5
28726,3
37915,3
50407,5
50107,5
28732,3
28735,39
50158,6
28738,3
30541,3
42496,2
38446,2
28741,70
36181,3
28744,2
28747,2
49840,2
7680,692
28750,6
37522,2
45772,5
44353,3
34726,13
45775,3
28753,3
28756,10
34729,22
45793,5
43462,8
50083,5
28762,3
